Name,League#,Date Joined,Birthday,Hometown,State,High Card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush,Royal Flush
"Elliott, Ezekiel U.",1111,7-May-03,3/29/1962,Akron,OH,,,,,1,,,,,
"Harrell, Garrett P.",1112,8-Nov-21,11/3/1953,Akron,OH,,,,,,,,,,1
"Pennington, Riley M.",1113,5-Dec-04,10/18/1952,Athens,GA,,,1,,,,,,,
"Little, Raymond A.",1114,3-Sep-05,4/18/1977,Auburn,ME,,,,,,,1,,,
"Curtis, Ria I.",1115,1-Sep-11,10/22/1975,Aurora,IL,,,,,,,,,1,
"Watkins, Maia I.",1116,30-Apr-11,8/29/1974,Baltimore,MD,,,,,,,1,,,
"Bowman, Keiko J.",1117,15-Apr-13,6/21/1958,Baltimore,MD,,,,,,,,,,1
"Casey, Seth J.",1118,7-Nov-09,10/12/1989,Biloxi,MS,,,,,1,,,,,
"Ballard, Aileen A.",1119,16-Aug-15,9/27/1992,Biloxi,MS,,,,,,,,,,1
"Hill, Graiden N.",1120,22-Feb-20,7/15/1984,Boston,MA,1,,,,,,,,,
"Raymond, September L.",1121,10-Nov-07,3/2/1985,Bowling Green,KY,,,,,,,,1,,
"Spencer, Clark T.",1122,2-Oct-13,2/25/1959,Chicago,IL,,,,,,,,,,1
"Mccray, Keefe V.",1123,24-Dec-12,5/11/1990,Cleveland,OH,,,,,,,,1,,
"Koch, Chava V.",1124,5-Sep-13,6/15/1977,Cleveland,OH,,,,1,,,,,,
"Gates, Echo Z.",1125,15-Jun-18,9/19/1973,Colchester,VT,,,,,,,,,1,
"Rivas, Travis H.",1126,13-Sep-15,2/27/1973,Colorado Springs,CO,,,,,,,1,,,
"Valentine, Abraham S.",1127,10-Sep-16,2/28/1995,Colorado Springs,CO,,,,,,,1,,,
"Dyer, Macy O.",1128,25-Sep-01,10/17/1955,Columbia,MO,,,,,,,,,,1
"Boyer, Raven C.",1129,12-Jun-08,6/7/1965,Columbia,MD,,,,,,1,,,,
"Ellison, Bevis D.",1130,26-Nov-03,11/5/2000,Columbus,OH,1,,,,,,,,,
"Collier, Benedict E.",1131,28-Dec-11,4/22/1990,Dallas,TX,1,,,,,,,,,
"Hudson, Dawn N.",1132,25-Jun-06,2/24/1962,Davenport,IA,,,,,1,,,,,
"Myers, Marvin B.",1133,30-Jan-16,10/31/1972,Des Moines,IA,,1,,,,,,,,
"Perkins, Fay X.",1134,8-Oct-14,2/3/1955,Dover,DE,,,,,,,,1,,
"Dennis, Ronan D.",1135,27-Sep-04,3/26/1995,Duluth,MN,,,,,,1,,,,
"Davidson, Zeph M.",1136,31-Jul-03,5/18/1991,Erie,PA,,,,,,,,,1,
"Kirk, Harding H.",1137,30-Apr-09,9/14/1970,Fort Collins,CO,,,1,,,,,,,
"Chan, Lydia P.",1138,21-Jun-02,9/22/1992,Frankfort,KY,,,,1,,,,,,
"Fisher, Cade K.",1139,10-Aug-03,6/21/1988,Frederick,MD,1,,,,,,,,,
"Christian, Yuli S.",1140,25-Oct-03,4/20/1951,Gaithersburg,MD,,,,,,,,1,,
"Bowen, Hadassah P.",1141,27-Apr-04,8/21/1978,Grand Island,NE,,,,,,,,1,,
"Snow, Roth F.",1142,22-Apr-07,3/19/1997,Grand Rapids,MI,,,,,,,,1,,
"Lyons, Ivan L.",1143,1-Sep-18,1/16/1967,Grand Rapids,MI,,,1,,,,,,,
"Beasley, McKenzie J.",1144,24-Dec-19,10/15/1967,Great Falls,MT,,,,,,,,,,1
"Hardy, Myles R.",1145,22-Aug-19,9/24/1952,Green Bay,WI,,,,,1,,,,,
"Lewis, Erich O.",1146,25-Jul-07,4/25/1966,Gulfport,MS,,1,,,,,,,,
"Bowen, Gail L.",1147,10-Jan-05,7/5/1956,Harrisburg,PA,,,,,,1,,,,
"Tillman, Quinn O.",1148,4-Feb-02,2/12/1972,Hartford,CT,,,,,,,,,1,
"Gaines, Jared C.",1149,8-Nov-15,5/5/1997,Helena,MT,,,,,,,,,,1
"Rivas, Gage E.",1150,19-Jul-11,8/4/1976,Houston,TX,,,,,,,,,,1
"Rowe, Kerry I.",1151,10-Apr-07,8/24/1974,Huntsville,AL,,,,,,,1,,,
"Albert, Sawyer Z.",1152,10-Mar-10,9/23/1987,Huntsville,AL,,,,,,,1,,,
"Christensen, Alfonso B.",1153,15-Jul-13,3/19/1995,Huntsville,AL,,,,,,,,1,,
"Griffin, Kathleen T.",1154,28-Sep-17,8/25/1968,Huntsville,AL,,,,1,,,,,,
"Snow, Brody M.",1155,6-Jun-07,3/18/2000,Indianapolis,IN,,,,,,,,,,1
"Mckee, Kevyn D.",1156,9-Aug-10,8/18/1971,Joliet,IL,,,,,,,,1,,
"Jennings, Willa E.",1157,5-Jun-02,9/1/1992,Jonesboro,AR,,1,,,,,,,,
"Herring, Aidan K.",1158,31-May-06,8/23/1981,Jonesboro,AR,,,,,1,,,,,
"Koch, Ralph Z.",1159,21-May-16,6/6/1969,Jonesboro,AR,,,1,,,,,,,
"Mckee, Deanna F.",1160,2-Feb-03,3/17/1971,Juneau,AK,,,,,,,,,1,
"Tucker, Edan A.",1161,28-Jul-05,3/22/1961,Kansas City,MO,,,,,,,,,1,
"Watson, Piper K.",1162,7-Sep-05,2/8/1992,Kansas City,MO,,,,1,,,,,,
"Castaneda, Otto M.",1163,15-Feb-20,10/26/1973,Kansas City,KS,,1,,,,,,,,
"Gray, Brian J.",1164,7-Dec-07,8/26/1973,Kearney,NE,,,,,1,,,,,
"Cole, Karen R.",1165,30-Jan-22,12/19/1979,Kearney,NE,,,,,1,,,,,
"Larson, Zephr U.",1166,1-Jan-12,3/27/1953,Lafayette,LA,,,,,1,,,,,
"Bright, Tamara S.",1167,22-Aug-08,2/15/1994,Lewiston,ME,,,,,,1,,,,
"Black, Deacon M.",1168,23-Jan-11,5/9/1984,Little Rock,AR,,,,,,,1,,,
"Pollard, Selma N.",1169,4-Mar-09,8/24/1992,Los Angeles,CA,,,,,,1,,,,
"Sanders, Karina A.",1170,27-Jun-06,7/31/2000,Madison,WI,,,,,,,,1,,
"Knowles, Jermaine L.",1171,6-Mar-08,7/24/1950,Madison,WI,,,,,,,,,,1
"Pate, Serena J.",1172,3-Nov-15,2/28/1983,Minneapolis,MN,,,1,,,,,,,
"Duke, Lev T.",1173,9-Mar-19,11/16/1950,Minneapolis,MN,,,,,,1,,,,
"Fleming, Serina I.",1174,30-Jul-04,2/7/1966,Mobile,AL,,1,,,,,,,,
"Lang, Nadine A.",1175,17-Oct-17,8/13/1960,Montgomery,AL,,,,1,,,,,,
"Torres, Cyrus B.",1176,25-Jul-21,6/18/1990,Naperville,IL,1,,,,,,,,,
"Wagner, Octavius J.",1177,2-Jul-01,4/17/1956,Newport News,VA,,,1,,,,,,,
"Wallace, Lois H.",1178,7-Jun-07,6/14/1953,Newport News,VA,,,,,,,1,,,
"Fulton, Karina B.",1179,9-Oct-03,8/19/1991,Norman,OK,1,,,,,,,,,
"Valenzuela, Maris A.",1180,2-May-04,1/30/1972,Norman,OK,,,,1,,,,,,
"Dawson, Quinn E.",1181,29-Jan-08,2/14/1962,Oklahoma City,OK,1,,,,,,,,,
"Newton, Jonah G.",1182,27-Sep-18,12/9/1965,Olathe,KS,,,,,1,,,,,
"Puckett, Maite J.",1183,14-Apr-13,11/26/1982,Omaha,NE,,,,,,,,1,,
"Irwin, Brent K.",1184,15-Jul-19,11/8/1952,Owensboro,KY,,,,,,1,,,,
"Brennan, Maile F.",1185,7-May-20,2/16/1973,Philadelphia,PA,,,,,,1,,,,
"Holden, Isabella J.",1186,29-Dec-03,10/2/1967,Pocatello,ID,,,,,,,,1,,
