ID,Name,Date,Address,City,State,Max Entrants,Winning Hand,First Place,Second Place,Third Place,Fourth Place
100,Comfortable Emerald Match,2/17/2012,"P.O. Box 436, 2470 Taciti St.",Wilmington,Delaware,11,Straight Flush,"Dyer, Irma W.","Albert, Sawyer Z.","Wagner, Octavius J.","Elliott, Ezekiel U."
117,Western Prize Tourney,12/14/2007,Ap #798-882 Donec Avenue,Fort Worth,Texas,100,High Card,"Curtis, Ria I.","Ballard, Aileen A.","Dyer, Macy O.","Harrell, Garrett P."
134,Traditional City Event,11/7/2001,1229 Pretium Road,Phoenix,AZ,18,Three of a Kind,"Sanders, Karina A.","Beasley, McKenzie J.","Tillman, Quinn O.","Pennington, Riley M."
151,Secret Hill Clash,9/28/2001,"P.O. Box 928, 1197 Auctor, Rd.",Boston,Massachusetts,27,High Card,"Collier, Benedict E.","Becker, Alexander Z.","Jennings, Willa E.","Little, Raymond A."
168,Worldwide Moolah Struggle,3/18/2020,"915-4861 Pellentesque, Av.",Little Rock,AR,33,Royal Flush,"Bowen, Gail L.","Black, Deacon M.","Chan, Lydia P.","Curtis, Ria I."
185,School's Out Fest Showdown,11/16/2005,"P.O. Box 814, 7204 Eu Ave",Rockville,MD,20,Royal Flush,"Herring, Aidan K.","Booker, Yen K.","Becker, Alexander Z.","Watkins, Maia I."
202,Gigantic Club Throwdown,12/22/2014,Ap #791-2593 Sit Rd.,Fort Collins,Colorado,42,Royal Flush,"Bright, Tamara S.","Bowen, Gail L.","Shepard, Cade G.","Bowman, Keiko J."
219,Wild Town Final,11/19/2012,"P.O. Box 740, 3884 Quis St.",Tuscaloosa,Alabama,100,Straight,"Castaneda, Otto M.","Bowen, Hadassah P.","Leach, Ima Y.","Casey, Seth J."
236,Underground Jewel Open Cup,4/20/2015,Ap #279-1537 Donec Rd.,Olathe,KS,99,Pair,"Kirk, Harding H.","Bowman, Keiko J.","Nolan, Garth W.","Ballard, Aileen A."
253,Underground Sapphire Meeting,5/2/2015,2915 Cras St.,Rockville,MD,47,Two Pair,"Dyer, Macy O.","Boyer, Raven C.","Mckee, Deanna F.","Hill, Graiden N."
270,Traditional West Open Cup,11/13/2006,8608 Adipiscing. Ave,Butte,MT,34,Flush,"Koch, Chava V.","Brennan, Maile F.","Rutledge, Hop X.","Raymond, September L."
287,Eastern Queen Playoff,12/17/2020,"2093 Ornare, Av.",Cleveland,Ohio,53,Flush,"Albert, Sawyer Z.","Bright, Tamara S.","Flowers, Germane V.","Spencer, Clark T."
304,Tired Penny Finals,4/19/2008,330-5179 Nibh. Street,San Diego,CA,57,Straight Flush,"Black, Deacon M.","Casey, Seth J.","Elliott, Ezekiel U.","Mccray, Keefe V."
321,Colossal Final Competition,2/28/2021,1717 Sit Av.,Baltimore,MD,22,Straight Flush,"Huffman, Lucas V.","Castaneda, Otto M.","Davidson, Zeph M.","Koch, Chava V."
338,Mysterious Moon Jamboree,5/11/2007,104-1268 Arcu Avenue,Lawton,OK,72,Two Pair,"Beasley, McKenzie J.","Chan, Lydia P.","Fisher, Cade K.","Gates, Echo Z."
355,Triple Penny Championship,11/21/2015,"P.O. Box 595, 9308 Ornare, Ave",Denver,Colorado,36,Three of a Kind,"Booker, Yen K.","Charles, Deacon L.","Fulton, Karina B.","Rivas, Travis H."
372,Underground Prize Cup,1/22/2003,713-434 Nonummy. Rd.,Rock Springs,Wyoming,31,Royal Flush,"Flowers, Germane V.","Christensen, Alfonso B.","Christian, Yuli S.","Valentine, Abraham S."
389,Jungle Night Regional,9/6/2015,5672 Volutpat Road,Springfield,Illinois,90,Straight,"Sheppard, Amir D.","Christian, Yuli S.","Ellison, Bevis D.","Dyer, Macy O."
406,Mysterious Drink Showdown,6/15/2014,"Ap #800-8786 Mauris, Ave",Wichita,KS,54,Three of a Kind,"Wagner, Octavius J.","Cole, Karen R.","Elliott, Ezekiel U.","Boyer, Raven C."
